Source,Speaker,SignalType,Band,GroupCount,mean_EDT,median_EDT,min_EDT,max_EDT,mean_RT20,median_RT20,min_RT20,max_RT20,mean_RT30,median_RT30,min_RT30,max_RT30,mean_RT60,median_RT60,min_RT60,max_RT60,mean_C50,median_C50,min_C50,max_C50,mean_C80,median_C80,min_C80,max_C80,mean_D50,median_D50,min_D50,max_D50,mean_D80,median_D80,min_D80,max_D80
omnipower,1,Sine,50,8,3.30158596238667,1.0173613817553,0.624127783969162,16.4523381926371,0.999009073762066,0.668847510293367,0.167539810994762,3.87758789674315,0.89329467849621,0.640935917115308,0.135949397390887,3.47665334638467,0.89329467849621,0.640935917115308,0.135949397390887,3.47665334638467,-2.20362110586907,-0.772939902386192,-15.8982689875808,5.61749210599561,0.167408536215996,2.62351386675971,-14.2968444421387,7.66773224328615,43.6065995130168,45.8647713930169,2.50695611287658,78.473484871779,53.3547450683274,63.4891636695116,3.58476921186896,85.3904718648183
omnipower,1,Sine,63,8,3.49877336467905,3.84603008008831,0.67166124099259,4.29005857508548,1.93772479537742,1.90282210599095,1.22978783986238,2.97810907427535,1.77652325177139,1.79396123695327,0.990326720864857,2.78805616003259,1.77652325177139,1.79396123695327,0.990326720864857,2.78805616003259,-2.19717979070222,-2.44152825620686,-8.18166337139076,6.5631147946439,-0.381569851955631,-1.0205027754448,-6.27493760272841,9.03916241306954,39.1973026078009,36.3314185033874,13.1941826955537,81.9240908104979,47.061965335766,44.208787671507,19.0794220728717,88.9076653206893
omnipower,1,Sine,80,8,5.95477875156651,6.97657443410439,1.70823190464085,8.4955424990269,4.1796379681418,4.42140429441814,1.94686992961104,5.5101299925299,3.94327027269783,4.15381016836948,1.84443700027018,5.40227552845706,3.94327027269783,4.15381016836948,1.84443700027018,5.40227552845706,-5.84023032688693,-7.24686329371493,-11.6158065924236,5.08194444421618,-4.17202720604476,-5.55900366000184,-9.60501583221883,6.69940682212578,24.9651314724411,16.4893535000983,6.44865824409456,76.3174107337462,30.4677238936861,22.3222337983532,9.87103722946928,82.3841707381089
omnipower,1,Sine,100,8,5.15418883064654,4.73801977283421,0.632495652714993,9.78608429115323,6.93971704145183,7.07629190853346,5.50665015156387,7.8639683802897,6.52608058773713,6.53028684153276,5.76476665858793,7.517074656774,6.52608058773713,6.53028684153276,5.76476665858793,7.517074656774,-0.525214101987165,-0.547690010983944,-7.70443631569195,5.55320483686395,1.82162516820578,1.36250964484335,-5.44756530139323,8.27061748049311,47.9883495903905,46.8576047502719,14.5044104154792,78.2223750372928,58.547797677989,57.7314758915862,22.1948340915614,87.0386458409221
omnipower,1,Sine,125,8,3.33438592306193,3.18683412161055,3.11273079750648,4.21996432246183,7.89474573996227,10.285758893128,0.702170718574767,10.7686964182008,8.42305583219401,8.59781503824375,6.87184533085564,9.8324640362295,8.42305583219401,8.59781503824375,6.87184533085564,9.8324640362295,-8.11512309024801,-8.2572247207851,-8.70398478961853,-6.84544054758635,-6.45711086972856,-6.53236043038474,-7.02044656460826,-5.22490197237717,13.446059112097,12.9995811690575,11.8766153289234,17.1331355675277,18.5237384269542,18.1922111178055,16.5685701262147,23.0928085282046
omnipower,1,Sine,160,8,4.73304929627725,3.38047201100972,1.23329240235357,17.061621460227,7.82879689063075,10.4558444633812,0.525638030052372,12.6830609755243,9.85343364206635,10.267145529938,7.50064814041259,11.4284953847312,9.85343364206635,10.267145529938,7.50064814041259,11.4284953847312,-5.37214825852609,-5.89373149023248,-8.44362809294602,-1.12963733600174,-3.36986859011627,-4.53977231807284,-6.20803535629548,2.76461226766749,24.0899847599689,20.4757711962472,12.5185281942237,43.5337009877531,32.9720045882401,26.2560364951351,19.3183932648648,65.3978937894942
omnipower,1,Sine,200,8,2.21479635224851,2.73234044254786,0.442318868646098,4.10187976397329,12.2661560760819,13.6981015367692,2.16611760665662,16.854266498186,13.0360377634477,13.0215023019363,11.7154063734755,14.1146089108429,13.0360377634477,13.0215023019363,11.7154063734755,14.1146089108429,-3.43842975984871,-6.50255299263896,-8.83155219925009,5.37051294044867,-0.605132639503653,-4.92445391921147,-7.09507018112148,11.3163006574421,35.4264212019681,18.3676368598323,11.5726163437773,77.4972739951334,45.0448729348536,24.5144099026779,16.3324089853419,93.1225890430304
omnipower,1,Sine,250,8,2.01450069804724,2.75123488684575,0.278002900912487,3.08583254005181,10.9219336927287,9.66801116200496,0.511243820265953,21.8199520905618,13.0999650999621,14.5459606287629,0.53651221434899,17.0614782479075,13.0999650999621,14.5459606287629,0.53651221434899,17.0614782479075,-1.77289262109112,-6.5821004494912,-9.4251100109457,11.0217320121688,1.0026193972085,-4.620817134632,-7.20652366963656,16.4095780988235,41.4248006104404,18.0118235912238,10.2457556412931,92.6752850340823,48.2789642954992,25.6759348057608,15.9847471778429,97.7652612721132
omnipower,1,Sine,315,8,3.44638911413634,2.94577223762902,0.634929493722079,11.0324501621822,15.4027890461221,19.2114241797445,0.396515589971879,24.9840122014404,15.111043613865,16.7295206970735,3.87060626261564,18.984245609648,15.111043613865,16.7295206970735,3.87060626261564,18.984245609648,-4.92912311039995,-5.78667380692237,-8.74574342946218,4.10251253926018,-2.6049420472406,-3.93533121794103,-6.27882528720046,9.16730544974421,26.4090041238784,20.9596185944633,11.7763493752133,72.0035644080187,35.204215948347,28.7900252900974,19.0656051711606,89.1953285666646
omnipower,1,Sine,400,8,4.67890143154965,2.82987778156259,0.368112419393955,23.753099497244,15.0687974011782,16.9964876148814,0.660602357194144,27.483260377345,19.8789645922146,19.7735982454473,18.3046817000935,21.8113974534602,19.8789645922146,19.7735982454473,18.3046817000935,21.8113974534602,-1.89237978794279,-3.87572799462628,-9.17832826425585,7.4466009008896,0.682417029707605,-0.714340236169694,-6.9957089217071,11.2849413671888,42.3028145936853,32.0730993547563,10.7802354510672,84.7437562150549,51.1890264684828,46.9843025119837,16.6474589259401,93.0762001037246
omnipower,1,Sine,500,8,6.93717038768626,0.53032728554813,0.353866589799439,37.4261179234095,28.3190158669042,27.7114350237334,24.1414533589875,33.3471174250035,23.5381682910562,23.449519450735,22.1948359890614,25.0392716129133,23.5381682910562,23.449519450735,22.1948359890614,25.0392716129133,3.68780869502265,3.51905254890228,-2.10818814375396,8.10736506823,8.87793694963294,8.98234342931165,3.60410075792704,14.032103042666,68.7155124371158,69.2170704914059,38.0971142748514,86.6086392831432,86.185356280708,88.6661604973096,69.6328470646073,96.1984747286533
