Measurement,LAeq_dBA,LCeq_dBC,LZeq_dB,Group
DEAAbning02022026kl1415-1431_,77.185407153218,78.9438578190834,79.013774693181,NonBackground
DEAAbning02022026kl1448-1459MangeIBaren_,78.8821987733349,80.5698768047876,80.6428934413707,NonBackground
DEAAbning02022026kl1536-1547Tits_,81.5365959001868,82.7737168067487,82.8386958806773,NonBackground
DEAAbning02022026kl1632-1640IndenMusik_,79.37467649393,81.0358476918134,81.1239167808239,NonBackground
DEFoersteFredag06022026Snestorm_,66.6691327458554,69.793470081598,70.8786453459591,NonBackground
DEFoersteFredag06022026Snestorm2_,70.9028537587918,73.3510469868728,73.7126325164385,NonBackground
poolSpilMedLidtBaggrundsSnak13022026_,66.2041001515231,68.7135229394807,68.9074038817778,NonBackground
poolOgBordFåMennesker13022026_,74.5943349420425,76.7580029957186,76.9811996802056,NonBackground
DEAndenFredag13022026_,77.1618340226509,78.8382372609455,78.9677135082655,NonBackground
DEAndenFredag130220262_,77.1551453860319,78.7892735903611,78.895316639879,NonBackground
DEAndenFredag13022026Tits_,77.9347078475124,79.4173612461443,79.4988867049309,NonBackground
DEAndenFredag13022026Beerpong_,75.2758913903699,77.2603121369115,77.3645646895382,NonBackground
DETredjeFredag20022026kl1306-1317_,66.5803730924926,69.2493924796927,70.041462908677,NonBackground
DETredjeFredag20022026kl1330-1344_,72.8273318292389,74.8489148908974,75.0257216475492,NonBackground
DETredjeFredag20022026kl1410-1424_,77.8033993775324,79.2933977440684,79.4163544181479,NonBackground
DETredjeFredag20022026kl1432-1452_,79.3123501333394,80.8936092285502,80.9676142357806,NonBackground
DETredjeFredag20022026kl1519-1529_,81.1629794197026,82.5784402306612,82.6313030020083,NonBackground
DETredjeFredag20022026JengaTits_,82.1952453802628,83.4965930288556,83.5539950423612,NonBackground
DEFjerdeFredag27022026_,70.3455846265504,72.7736131383124,72.9411687117498,NonBackground
DEFjerdeFredag27022026kl14-1420_,75.2076744766017,77.1364709828277,77.2876200764655,NonBackground
DEFjerdeFredag27022026kl1427-1442_,78.6143536475884,80.2137152288101,80.3154863955991,NonBackground
DEFemteFredag06032026kl1311-1323_,71.4767317561581,73.4780544264225,73.6781805704984,NonBackground
DEFemteFredag06032026kl1337-1357_,75.1500448811768,76.9620184037875,77.1280413632695,NonBackground
DEFemteFredag06032026kl1408-1415_,77.7122020252694,79.3304624358891,79.4309253215468,NonBackground
DEFemteFredag06032026kl1424-1445_,77.720013271607,79.4638266724721,79.5484560564757,NonBackground
DESjetteFredag13032026kl1301-1317_,68.3390390958819,70.9259258950587,71.3259748301988,NonBackground
DESjetteFredag13032026kl1322-1335_,74.4291903899022,76.4408048317643,76.5662261920718,NonBackground
DESjetteFredag13032026kl1339-1356_,76.1148314693409,77.8708302414059,77.9424375750116,NonBackground
DESyvendeFredag20032026kl1300-1312_,68.3596979696355,70.9099984330396,71.88410163658,NonBackground
DESyvendeFredag20032026kl1324-1339_,72.0637291915832,74.4049349357769,74.8504975162924,NonBackground
DESyvendeFredag20032026kl1355-1401_,74.1496484315295,76.2669323093152,76.5139323856148,NonBackground
DESyvendeFredag20032026kl1410-1417Tits_,75.8504836542107,77.7254712925374,77.8663889558588,NonBackground
DESyvendeFredag20032026kl1420-1501Beerpong_,79.7831354262707,81.1557856389706,81.2344323236994,NonBackground
DESyvendeFredag20032026kl1518-1535_,79.1774572879502,80.6095617957958,80.7303992023189,NonBackground
DESyvendeFredag20032026kl1539-1547_,81.3212047582701,82.7543548965416,82.8459662523266,NonBackground
DESyvendeFredag20032026kl1613-1625Vihygger_,82.3452375868646,83.5838760416967,83.6599405246046,NonBackground
DESyvendeFredag20032026kl1717-1734_,80.4713329266213,81.750352943461,81.8306977987728,NonBackground
DESyvendeFredag20032026kl1744-1844_,78.1716624425138,79.4799558687127,79.5669434084262,NonBackground
backgroundMeasurement13022026_,41.8311317208866,49.4798889172677,50.8209910339173,Background
backgroundMeasurement13032026_,42.1838910805123,54.2863748161557,58.3264129937222,Background
backgroundMeasurement16022026_,45.3737006216539,52.3591895954725,54.5372242576061,Background
backgroundMeasurement18022026_,45.2507925385394,54.6948951487238,56.9003598309053,Background
backgroundMeasurement20022026_,46.0167351049175,51.6443005746453,53.9866260969598,Background
backgroundMeasurement27022026_,45.2558267936775,52.3835967127609,55.0220853142755,Background
backgroundMeasurement28022026_,43.3297469675471,53.4376815199185,54.0964448414712,Background
backgroundMeasurement03032026_,40.1608949508485,49.6652344032253,52.416579799805,Background
backgroundMeasurement06032026_,44.6668643597435,51.6209726891581,53.3577148402222,Background
backgroundMeasurement20032026_,43.0733130332544,52.4249089423255,53.5228999464428,Background
