Group,Mic,Mean_dBA,Std_dB,Min_dB,Max_dB
Background,1,53.6740446585882,0,53.6740446585882,53.6740446585882
Background,2,54.2166872667422,0,54.2166872667422,54.2166872667422
Background,3,47.8120499214304,0,47.8120499214304,47.8120499214304
Background,4,50.3867394850704,0,50.3867394850704,50.3867394850704
Background,5,52.1966553822376,0,52.1966553822376,52.1966553822376
Background,6,51.4120862995713,0,51.4120862995713,51.4120862995713
Background,7,53.4090868695911,0,53.4090868695911,53.4090868695911
Background,8,53.6933893889946,0,53.6933893889946,53.6933893889946
NonBackground,1,68.3894879705997,3.59723324764019,64.0912609900724,72.7013709401126
NonBackground,2,69.317965879832,4.09895008050898,63.2217956402647,72.0006189187275
NonBackground,3,66.8723798185508,6.90718464598587,57.2067152419096,73.5858540767805
NonBackground,4,64.9672980094058,3.17290990076485,61.0535344866407,68.239111596483
NonBackground,5,66.6386447539106,3.41857133036831,62.1862509931772,70.0700725880059
NonBackground,6,65.8381120326091,5.74610516082458,58.9734108620666,72.8976686878852
NonBackground,7,66.5090182730049,5.58372789222535,59.5696759528225,72.6332095556712
NonBackground,8,66.3096016223579,5.72180731756968,59.5427109990493,73.0992000618664
