Method,Speaker,Microphone,Frequency in Hz,EDT in s,RT10 in s,RT20 in s,RT30 in s,RT60 in s,C50 in dB,C80 in dB,D50,D80
Sweep,1,1,50,NaN,NaN,NaN,NaN,NaN,-12.600618105989,-12.3978547386315,0.0520844221027377,0.0544382815495324
Sweep,1,1,63,4.73298736967823,NaN,NaN,NaN,NaN,-8.50768858546245,-5.5863729521815,0.123578810478457,0.216478051991002
Sweep,1,1,80,NaN,NaN,NaN,NaN,NaN,-0.236344643571203,4.64092787624413,0.486398265387997,0.744333082911521
Sweep,1,1,100,NaN,NaN,NaN,NaN,NaN,-3.3964958658886,-0.723924117519962,0.313873478387494,0.458423801202364
Sweep,1,1,125,NaN,NaN,NaN,NaN,NaN,2.89014384444245,4.02343041261208,0.660490365768377,0.716350263847881
Sweep,1,1,160,NaN,NaN,NaN,NaN,NaN,-4.03641195537667,-3.39835573760858,0.283042764067543,0.313781258861757
Sweep,1,1,200,4.54533432163836,3.15804994023951,NaN,NaN,NaN,-3.06868168332749,-2.60415387395514,0.330352747420334,0.354428671353179
Sweep,1,1,250,NaN,NaN,NaN,NaN,NaN,3.77823263139587,6.74423390055425,0.704739500007474,0.825334673254684
Sweep,1,1,315,NaN,0.130902122419315,NaN,NaN,NaN,5.74606445261428,7.21524423334393,0.789693720909587,0.840422008806515
Sweep,1,1,400,0.0574679852438202,0.0977591088145512,NaN,NaN,NaN,7.40069856566756,10.3056947119471,0.846066050516737,0.914743075991036
Sweep,1,1,500,0.0715279332407107,NaN,0.275972045465342,NaN,0.827916136396027,5.70548262187902,10.0185060555089,0.788137639537462,0.909442459102078
Sweep,1,1,630,0.126377569933473,NaN,0.208439531092718,NaN,0.625318593278155,0.590089880109441,5.41822778099986,0.533916141426926,0.776882928857456
Sweep,1,1,800,0.108119621989063,0.098284820827897,0.235837346517278,NaN,0.707512039551833,3.7982992329685,6.32359564480679,0.705700032500818,0.810929583920409
Sweep,1,1,1000,0.116307303791718,0.0972074875421912,0.217970971071508,NaN,0.653912913214525,3.16296370972079,6.18720855164994,0.67443195670493,0.806067514429147
Sweep,1,1,1250,0.088877106993272,0.111787771214812,0.237828943182974,NaN,0.713486829548922,3.95759265987794,8.09938402218491,0.713259848199189,0.865873111137992
Sweep,1,1,1600,0.0998866466613847,0.111709921101367,0.239279322333029,NaN,0.717837966999087,2.43252950610687,7.18319131690449,0.636478134743511,0.839429706046185
Sweep,1,1,2000,0.126933462869469,0.121096712789239,0.277016303483593,NaN,0.831048910450778,2.31087308899241,5.69667195203989,0.629972348996201,0.787798690593416
Sweep,1,1,2500,0.12850557366386,0.13018838008262,0.266695249498506,NaN,0.800085748495519,0.659662371716087,4.60637482530806,0.537900378549719,0.742816078940749
Sweep,1,1,3150,0.138676953526296,0.121766780427326,NaN,NaN,NaN,1.97945712606662,5.21731078088048,0.612014224511794,0.768761334680866
Sweep,1,1,4000,0.109906415710097,0.113102863099797,NaN,NaN,NaN,2.61523882233884,6.51050390853085,0.646155124322722,0.817440045560111
Sweep,1,1,5000,0.117710610469798,0.117255820074251,0.238961149584101,NaN,0.716883448752304,2.33312710964747,5.89301915069595,0.631166034027206,0.79525830358841
Sweep,1,1,6300,0.107534941040858,0.127536582733341,NaN,NaN,NaN,3.65664296075372,6.88546581227703,0.698880622901776,0.829973165332787
Sweep,1,1,8000,0.09136251616314,0.0890430047768433,0.190839242934793,NaN,0.572517728804378,5.05179732117035,9.19025121701102,0.761917189917536,0.892461412935597
Sweep,1,1,10000,0.0743346842880847,0.0927918032358911,NaN,NaN,NaN,6.28845206533703,10.6748614386351,0.809685756503273,0.921142889389234
Sweep,1,1,12500,NaN,NaN,NaN,NaN,NaN,3.77262598233275,5.81499854294339,0.704470799942286,0.792317692844812
Sweep,1,1,16000,NaN,NaN,NaN,NaN,NaN,-3.22047767864359,-2.56118588328899,0.32266695775849,0.356695695826035
Sweep,1,1,20000,NaN,NaN,NaN,NaN,NaN,-10.4275512759973,-9.70121303730146,0.083094003754646,0.0967571824047453
Sweep,1,2,50,NaN,NaN,NaN,NaN,NaN,-7.54321568783883,-4.67396026282468,0.149708444272874,0.254222179185438
Sweep,1,2,63,NaN,NaN,NaN,NaN,NaN,-0.176782238579143,1.68181251649497,0.489825001232608,0.595620913588521
Sweep,1,2,80,NaN,NaN,NaN,NaN,NaN,-0.936002726789503,4.36913072748307,0.446326950569407,0.732242402974607
Sweep,1,2,100,NaN,NaN,NaN,NaN,NaN,-0.318424910801578,0.228301328244062,0.481678195850682,0.513139055280683
Sweep,1,2,125,NaN,NaN,NaN,NaN,NaN,0.0904636656391081,6.32901011172746,0.50520731891664,0.811120661504859
Sweep,1,2,160,0.148247492057871,0.146612102844944,NaN,NaN,NaN,1.85846586768146,5.1756367824448,0.605378685308338,0.767051118592732
Sweep,1,2,200,0.110213670260178,NaN,NaN,NaN,NaN,0.386254631419619,5.81073008876641,0.522219959107008,0.792155918397997
Sweep,1,2,250,NaN,NaN,NaN,NaN,NaN,6.58722457987353,12.4613714371219,0.820061544353525,0.946309662863592
Sweep,1,2,315,0.0839784678245424,0.078038169902497,0.208656743165648,NaN,0.625970229496943,5.90994691631979,9.61253187658281,0.795892216748183,0.901443489421354
Sweep,1,2,400,NaN,0.0633260876997545,0.18134080987276,NaN,0.544022429618281,3.2474249668551,10.4167838819534,0.678687634281063,0.916716905748838
Sweep,1,2,500,0.0985060243094897,0.0858868686995664,0.22361738168995,NaN,0.670852145069849,4.28796432697883,8.5221954463845,0.728562256652146,0.876782516081668
Sweep,1,2,630,NaN,0.125227604849493,0.22944149317849,NaN,0.688324479535469,5.36955405359154,6.81591016597642,0.774934233723243,0.827701096400746
Sweep,1,2,800,0.110707083273709,0.107172577823602,0.240615384755351,NaN,0.721846154266052,2.26526769210782,5.71269558581791,0.62752116028818,0.788414829463412
Sweep,1,2,1000,0.121585497637419,0.0957916706690114,0.224909442587644,NaN,0.674728327762931,0.161188206029587,4.14036883819436,0.509277674018608,0.721789426283597
Sweep,1,2,1250,0.101925746019053,0.11330908731087,0.225813340880872,NaN,0.677440022642616,3.76423036685562,6.65564805407163,0.704068172671382,0.822374662621021
Sweep,1,2,1600,0.124809905367061,0.119513821745553,0.257626436731113,NaN,0.77287931019334,1.6514642791813,4.59568201688147,0.593936703337107,0.742345435423872
Sweep,1,2,2000,0.106665795028533,0.110176389161218,0.234667647815153,NaN,0.70400294344546,2.42431593626552,5.57767984263534,0.636040437660681,0.783182242748353
Sweep,1,2,2500,0.111715759668146,0.12133378541845,0.227240445494368,0.357373548879565,0.71474709775913,2.70037147638751,6.32857640265734,0.650624071485779,0.811105361287378
Sweep,1,2,3150,0.112853806150336,0.101897745413643,0.218741966384564,0.343322282166652,0.686644564333304,1.09400281906761,5.16412870806498,0.562644951262791,0.766577301782446
Sweep,1,2,4000,0.100663201487935,0.103349318476499,0.216737190506856,0.358565582312493,0.717131164624986,2.94254339153394,6.94282149053072,0.663190693051752,0.831828741871673
Sweep,1,2,5000,0.101428984417945,0.111859759899176,0.221231467005591,NaN,0.663694401016772,3.3816271580791,7.57599613815016,0.685388746242095,0.851249843517487
Sweep,1,2,6300,0.0910328710033925,0.106521091655253,0.213245462038988,0.344454944733503,0.688909889467007,4.78533884495912,8.27704004439978,0.750609385225485,0.870553201838532
Sweep,1,2,8000,0.0774240358625632,0.0847822890779441,0.171143175555114,NaN,0.513429526665341,5.12590812962514,9.2961930509493,0.764998857537085,0.894780289259542
Sweep,1,2,10000,0.0672252698785312,0.0596318372479698,0.163485908554693,NaN,0.49045772566408,5.71415161130697,11.8731028688404,0.788470751461556,0.938996640632057
Sweep,1,2,12500,0.0561395658097618,0.0648111635055325,NaN,NaN,NaN,8.16084926485629,13.2718192055083,0.867508289517588,0.955038681213405
Sweep,1,2,16000,NaN,NaN,NaN,NaN,NaN,4.62731200524289,6.02940325950319,0.743735998921964,0.80032413004165
Sweep,1,2,20000,5.90048373113881,NaN,NaN,NaN,NaN,-0.656267908803766,-0.0886295399638901,0.462293905462012,0.494898250623134
Sweep,1,3,50,NaN,NaN,NaN,NaN,NaN,-18.6473169378659,-14.8060582574021,0.0134703367970197,0.0320085282192412
Sweep,1,3,63,NaN,NaN,NaN,NaN,NaN,-10.6800109921052,-8.37809513785185,0.0787710238714908,0.126847162283227
Sweep,1,3,80,NaN,NaN,NaN,NaN,NaN,-3.47696093531389,-3.28610844257222,0.309897221506588,0.319373065661756
Sweep,1,3,100,NaN,NaN,NaN,NaN,NaN,-7.77762686324545,-2.52438450040814,0.142966733191621,0.358642486474109
Sweep,1,3,125,NaN,NaN,NaN,NaN,NaN,-1.21305410774186,1.18537997821239,0.430621468254394,0.567815466902537
Sweep,1,3,160,0.0965986891989241,NaN,NaN,NaN,NaN,3.73371565576565,7.55001116762541,0.702602109428536,0.850490628522042
Sweep,1,3,200,NaN,4.91166085849135,NaN,NaN,NaN,1.9563158759483,4.35915521983413,0.610748211734128,0.731791815707161
Sweep,1,3,250,0.108250291189385,NaN,NaN,NaN,NaN,3.57371887173391,6.1500933888255,0.694847168098633,0.804728072609907
Sweep,1,3,315,0.0829249801928091,0.0968461832465092,NaN,NaN,NaN,2.55172949325111,8.65304789355095,0.642804510499661,0.880000817782493
Sweep,1,3,400,0.0982221742481023,NaN,NaN,NaN,NaN,2.8081415784574,6.95402260607611,0.656243532158764,0.832189229939979
Sweep,1,3,500,0.0832820054836709,0.114948582170043,0.226987652002731,NaN,0.680962956008194,4.67239650285477,8.12101107019092,0.745709548109326,0.866450397882973
Sweep,1,3,630,0.105911420282488,0.126033894074334,0.251948596027195,NaN,0.755845788081584,5.34774531010352,7.55928309377924,0.774057193081601,0.8507618965345
Sweep,1,3,800,NaN,0.13401462446223,NaN,NaN,NaN,5.29029966726175,7.97757417446984,0.771735444454123,0.862582177322869
Sweep,1,3,1000,0.103036660392066,0.130840927673178,0.270284566360691,NaN,0.810853699082072,4.16962209896922,8.48333168923947,0.723140018234123,0.875812478468699
Sweep,1,3,1250,0.106190401454624,0.118529679686458,0.267714801829035,NaN,0.803144405487105,4.28478408289447,7.40711834121952,0.728417417584004,0.84625847132092
Sweep,1,3,1600,0.100893006864336,0.114648861281613,0.234741602289875,NaN,0.704224806869626,3.7523654233688,7.17158474189893,0.703498625533138,0.839069157964466
Sweep,1,3,2000,0.129942599142782,0.110171753196884,0.233411119962319,NaN,0.700233359886958,2.90200315932258,4.92398628988214,0.661102438906627,0.756537604450562
Sweep,1,3,2500,0.120492997286036,0.120712259429025,0.252784611580805,NaN,0.758353834742415,1.07371730353353,5.12013957566457,0.561495219271486,0.764759984991657
Sweep,1,3,3150,0.118495564626097,0.114664328848021,0.246097094922901,NaN,0.738291284768703,1.95920148189856,5.50763283058216,0.610906159527039,0.780430919131491
Sweep,1,3,4000,0.107246210211275,0.14132659963241,0.25578868514318,NaN,0.767366055429539,1.08305065215544,6.01957543064262,0.562024292776224,0.799962253993769
Sweep,1,3,5000,0.104999624917135,0.107702287215794,0.252971357390704,NaN,0.758914072172111,2.08675758894125,6.1082723103415,0.617864446095991,0.803210418526076
Sweep,1,3,6300,0.103423003992447,0.103522536408179,0.26030858367156,NaN,0.780925751014679,3.09959488803159,6.96783001610975,0.671219995662391,0.832632747726734
Sweep,1,3,8000,0.104794100002135,0.108842015949883,NaN,NaN,NaN,3.79693329514056,7.38243569467514,0.705634706651113,0.845517577512713
Sweep,1,3,10000,0.0997166646111883,NaN,NaN,NaN,NaN,3.93350416078437,7.59322181103638,0.712124119455107,0.851751378420306
Sweep,1,3,12500,5.75881831412331,NaN,NaN,NaN,NaN,-1.66909834642272,-0.525137691291574,0.405084402208977,0.469807422742297
Sweep,1,3,16000,NaN,NaN,NaN,NaN,NaN,-13.2488013531559,-12.279062977111,0.0451894518010391,0.0558635422602144
Sweep,1,3,20000,NaN,NaN,NaN,NaN,NaN,-17.4450596220282,-15.9657799727333,0.0176905909938926,0.0246924170534035
Sweep,1,4,50,4.31240882441111,NaN,NaN,NaN,NaN,-12.252181621677,-11.3975702802572,0.0561909012285448,0.0675852764727342
Sweep,1,4,63,NaN,5.61084366483939,NaN,NaN,NaN,-0.505361299488104,1.78882244566365,0.470941846275697,0.601541359734797
Sweep,1,4,80,0.076250233710416,NaN,NaN,NaN,NaN,5.46440312612662,10.1470987355215,0.778720454888296,0.911851626429908
Sweep,1,4,100,NaN,NaN,NaN,NaN,NaN,3.96244198894671,5.90898788194876,0.71348816095836,0.795856341735705
Sweep,1,4,125,NaN,NaN,NaN,NaN,NaN,4.4251886845866,5.44573480996684,0.734765556427561,0.777978865246432
Sweep,1,4,160,0.06448116191926,NaN,NaN,NaN,NaN,5.40078542889425,11.297960818546,0.776185994700498,0.930954944795223
Sweep,1,4,200,NaN,NaN,NaN,NaN,NaN,7.86067076364446,11.5171156471071,0.859360222372082,0.934128853551421
Sweep,1,4,250,NaN,NaN,0.124681319576297,NaN,0.37404395872889,7.14807942498088,11.7644305125235,0.838336981938989,0.93754744596441
Sweep,1,4,315,NaN,NaN,NaN,NaN,NaN,7.2040746884829,9.36053329131953,0.840076784203273,0.896166953627847
Sweep,1,4,400,0.0439316066512505,NaN,0.14997962028027,0.290254898391425,0.580509796782851,11.5481778030019,15.4837359691574,0.934567587295656,0.97248870899268
Sweep,1,4,500,0.0814967864185328,0.107459933034934,0.213873989528627,0.343461405377735,0.68692281075547,4.86070374301444,9.61836043694766,0.753843708526516,0.901562659390444
Sweep,1,4,630,NaN,0.112116457501575,0.209535578048571,0.311925951721711,0.623851903443423,7.06112383474752,11.1950410848195,0.835604986718169,0.929416034752299
Sweep,1,4,800,NaN,NaN,0.186670071614508,0.333090019142915,0.66618003828583,2.76446849419809,9.3501081787807,0.653971446495543,0.895943373109837
Sweep,1,4,1000,0.106968538489493,0.103360081193275,0.224169244258603,0.328197471119707,0.656394942239415,0.997784944740306,6.09660960842455,0.557185796530085,0.802785603560572
Sweep,1,4,1250,0.091751518370208,0.101071906960635,0.209880877764292,0.346896508647371,0.693793017294742,5.15626175769991,8.32380614363467,0.766253013851116,0.871761849736346
Sweep,1,4,1600,0.0852832032174161,0.0828223818643382,0.202622359601852,0.322159495177302,0.644318990354604,4.24789559499016,8.84243717928963,0.726733853790598,0.884530074452355
Sweep,1,4,2000,0.105042096220754,0.103223168392828,0.21951489228829,NaN,0.65854467686487,4.23324504689594,6.84043653895483,0.726063409529951,0.828504994348951
Sweep,1,4,2500,0.0803983052850878,0.108820019538322,0.217091327558617,0.344107082988072,0.688214165976145,6.9217356732308,9.28809866076519,0.831148456360758,0.894604685876409
Sweep,1,4,3150,0.0879037879719511,0.10856295559334,0.224175261974934,0.352432376088554,0.704864752177109,5.17104986595742,8.37869581914077,0.766862343831423,0.873168155940343
Sweep,1,4,4000,0.0797023226499181,0.108154390262768,0.218255008691129,0.33910851594189,0.67821703188378,5.4948802333898,9.60956389349216,0.779927328735618,0.901382757071742
Sweep,1,4,5000,0.0837186944402565,0.0957988624459569,0.194951516289157,0.308140852704728,0.616281705409455,5.548944438502,8.99821265909637,0.782056592194178,0.888143351380313
Sweep,1,4,6300,0.0791308262510214,0.0922770856083058,0.191119313565018,0.291574168689724,0.583148337379448,5.03152646104651,9.43228381846647,0.761069466575814,0.897694246184663
Sweep,1,4,8000,0.0676361563820326,0.0632061259217243,0.150935461770078,0.245229100834567,0.490458201669133,6.55784463022551,12.0389473092747,0.819061137012006,0.941147749205907
Sweep,1,4,10000,0.0527684507216546,0.0622002249304676,0.129623519967312,0.215846595824332,0.431693191648664,9.07873085306911,14.0386907807445,0.889971991173015,0.962040180972908
Sweep,1,4,12500,0.0421807562505346,0.0484987694889208,0.113225022943012,NaN,0.339675068829035,11.2706540965653,17.4004379731789,0.930549694387139,0.982129974648885
Sweep,1,4,16000,0.0402223908766327,0.0456973135713199,NaN,NaN,NaN,11.7686162084375,17.429163174545,0.937603854351598,0.982245689367142
Sweep,1,4,20000,0.0399322449643118,NaN,NaN,NaN,NaN,11.2077859980854,14.0422683799363,0.929608309182269,0.962070252772921
Sweep,1,5,50,NaN,NaN,NaN,NaN,NaN,-17.1296679510558,-13.320632718331,0.0189977946322036,0.0444811480790733
Sweep,1,5,63,NaN,NaN,NaN,NaN,NaN,0.944409202878608,3.87354345527851,0.554151339003858,0.709285479860823
Sweep,1,5,80,NaN,NaN,NaN,NaN,NaN,6.55871237382737,7.71354980570551,0.819090746275091,0.85521592418
Sweep,1,5,100,5.57348011187996,NaN,NaN,NaN,NaN,-1.353086974318,0.00202774173073149,0.422734057635816,0.50011672619492
Sweep,1,5,125,NaN,NaN,NaN,NaN,NaN,1.27353462893733,3.13057443711488,0.572789687618418,0.67279227285977
Sweep,1,5,160,NaN,0.10828427960032,0.265930252718226,NaN,0.797790758154679,6.73488133526246,9.98972062654851,0.825024011751823,0.908895106928704
Sweep,1,5,200,NaN,0.113390086892003,NaN,NaN,NaN,9.12085313550535,11.4017153650606,0.890918150408871,0.932474845204912
Sweep,1,5,250,0.0755747832919065,NaN,0.218017670387635,NaN,0.654053011162906,3.22632861892342,10.0470108656695,0.677627412751909,0.909981555700026
Sweep,1,5,315,0.0860732297100425,0.0598214074868349,0.144314248242562,NaN,0.432942744727686,3.74815483275933,9.09877602109994,0.70329635420327,0.890423143508592
Sweep,1,5,400,0.0943977874226091,NaN,NaN,NaN,NaN,3.77243142424952,7.1696059929261,0.704461473149235,0.839007624619575
Sweep,1,5,500,NaN,NaN,0.243871710652194,NaN,0.731615131956582,3.11307495203633,10.1599639728318,0.671904611328116,0.912089443004654
Sweep,1,5,630,0.112145117724354,0.121419606407054,NaN,NaN,NaN,3.16186098156406,6.65403200557294,0.674376201772289,0.822320300447648
Sweep,1,5,800,0.121045595886407,0.100019714033531,0.219800945008926,NaN,0.659402835026777,3.56740162657521,6.02799734133687,0.694538655327239,0.800272392063963
Sweep,1,5,1000,0.0845081512544544,0.102565824981239,0.194188502031292,0.355451160881667,0.710902321763333,3.83207429858386,8.46667464138536,0.707312629540408,0.875394716672634
Sweep,1,5,1250,0.117242171386414,0.107045297958422,0.229576222769628,0.394560316934083,0.789120633868167,3.32480018732678,5.76939317777505,0.682560416804067,0.790584441073431
Sweep,1,5,1600,0.0990065125989045,0.0849988358425624,0.209334762110592,0.353955680130402,0.707911360260804,1.976269451379,6.94303064030655,0.611839922383204,0.831835478643644
Sweep,1,5,2000,0.108886532984205,0.0963203442724357,0.22166579519079,NaN,0.664997385572371,2.04684061656392,6.3677362871177,0.615691987004083,0.812482997279336
Sweep,1,5,2500,0.108591976312429,0.107013375174977,0.228785997007149,0.368140962036345,0.736281924072689,3.63497860569364,6.93071248075226,0.697829790802039,0.831438340144562
Sweep,1,5,3150,0.110724062350919,0.112070581237822,0.235012412409696,0.374090275964413,0.748180551928826,2.61117609807523,6.17483039745328,0.645941208902952,0.805621578683831
Sweep,1,5,4000,0.103126257305886,0.119824108385496,0.229741398387099,0.36776651540805,0.7355330308161,2.46580379909548,6.90268824343494,0.638248987882145,0.830532051262356
Sweep,1,5,5000,0.0997630756713009,0.108042895436901,0.221239106669729,0.428296225683555,0.856592451367109,2.99954267550719,7.13835039747159,0.666116005061331,0.838033142924161
Sweep,1,5,6300,0.0919104278080795,0.0990773417028637,0.193318513592058,0.362037470581682,0.724074941163364,4.26831352193808,7.76382472284858,0.727666517464851,0.85664342582025
Sweep,1,5,8000,0.0770374858077563,0.0832088404493713,0.173176086889026,0.287622540749467,0.575245081498934,5.54862582751672,9.81546393591293,0.782044087665142,0.905517681604796
Sweep,1,5,10000,0.0679030056387236,0.0680952337048474,0.150732498079222,NaN,0.452197494237667,6.808540075551,11.692149948952,0.82745894553227,0.936565822867087
Sweep,1,5,12500,0.0600603263751677,0.0630199651442532,NaN,NaN,NaN,7.91671852716918,12.8821605427521,0.860912759223099,0.951024846141116
Sweep,1,5,16000,NaN,NaN,NaN,NaN,NaN,4.57828549164282,6.00565999342427,0.741578527360976,0.799449024941878
Sweep,1,5,20000,NaN,NaN,NaN,NaN,NaN,-2.1300985694333,-1.5270821993707,0.379782071604686,0.412988740595239
Sweep,1,6,50,NaN,NaN,NaN,NaN,NaN,-21.1863465050921,-18.4045445258095,0.00755219206572246,0.0142337551289721
Sweep,1,6,63,NaN,NaN,NaN,NaN,NaN,-6.86074042602423,-3.91633681052184,0.170831760299987,0.288686923169483
Sweep,1,6,80,NaN,NaN,NaN,NaN,NaN,-0.412175485453993,0.995023708392936,0.476291065284027,0.557028920487184
Sweep,1,6,100,NaN,NaN,NaN,NaN,NaN,-5.7449317316145,-3.5101790265303,0.210349598484967,0.308263836067511
Sweep,1,6,125,5.09810818795657,NaN,NaN,NaN,NaN,-5.78604394399801,-1.81842818621559,0.208781509647695,0.396825820826622
Sweep,1,6,160,NaN,NaN,NaN,NaN,NaN,-1.8358181102532,0.720987337615757,0.395867797515544,0.541408308341231
Sweep,1,6,200,NaN,NaN,NaN,NaN,NaN,-1.15715882415843,0.488221994040563,0.433779886096939,0.528074756803288
Sweep,1,6,250,NaN,4.70359693146828,NaN,NaN,NaN,-2.00532193438125,-0.0263859561516435,0.386572550318092,0.498481106939735
Sweep,1,6,315,0.0427991286721322,NaN,NaN,NaN,NaN,9.3578371834929,11.9596328827312,0.896109172731183,0.940128008624966
Sweep,1,6,400,NaN,NaN,NaN,NaN,NaN,4.55259551677468,6.91412915131761,0.740443294636719,0.830902511757019
Sweep,1,6,500,NaN,0.114059859040217,NaN,NaN,NaN,5.84722484441464,7.92581778366759,0.793536070731317,0.861163450714357
Sweep,1,6,630,0.121718902957119,NaN,NaN,NaN,NaN,2.40726110246041,6.78261916935993,0.6351308751317,0.826605151501092
Sweep,1,6,800,0.121965877478722,0.130370985521684,NaN,NaN,NaN,2.52049780739335,5.97172959642198,0.641151634185552,0.798193471498721
Sweep,1,6,1000,0.0975658576048592,NaN,0.24231933845319,NaN,0.726958015359569,1.38974268298025,7.25615062717756,0.579324271278043,0.841681177097211
Sweep,1,6,1250,0.102806733225262,0.0912101766537122,NaN,NaN,NaN,0.834902167690725,6.51971682494804,0.547913359792961,0.817756405678106
Sweep,1,6,1600,0.113145157275452,0.102145758356507,0.224904846901275,NaN,0.674714540703826,1.10937433258138,5.07198754166954,0.563515722655954,0.762759483101587
Sweep,1,6,2000,0.12646329950758,0.11904190622614,0.256152267743129,NaN,0.768456803229386,2.74787220289271,5.57002001974353,0.653106174707844,0.782882596426717
Sweep,1,6,2500,0.123342300969635,0.10813231973471,0.246374664885762,NaN,0.739123994657286,1.310405824117,5.18333605981621,0.57486588631364,0.767367743383794
Sweep,1,6,3150,0.125424665893019,0.122935908912957,0.243442642531315,NaN,0.730327927593945,2.01082767159354,5.86173452988051,0.613728031621138,0.794082908422875
Sweep,1,6,4000,0.107727011394425,0.132425064576781,0.260383624569556,NaN,0.781150873708668,3.05994899897558,7.09619191035083,0.66920227770216,0.836711201919011
