Method,Speaker,Microphone,Frequency in Hz,EDT in s,RT10 in s,RT20 in s,RT30 in s,RT60 in s,C50 in dB,C80 in dB,D50,D80
MLS,1,1,50,NaN,NaN,NaN,NaN,NaN,-2.25684293785551,1.17657476988469,0.372932374099452,0.567317854345274
MLS,1,1,63,0.174266081823239,NaN,NaN,NaN,NaN,1.34377791299089,2.55101787370316,0.576742779967109,0.642766887051025
MLS,1,1,80,NaN,NaN,NaN,NaN,NaN,2.02118171564835,2.31887712393345,0.61429306864473,0.630401861874636
MLS,1,1,100,NaN,NaN,NaN,NaN,NaN,-4.93392161844622,1.96663173889392,0.243041276060618,0.611312758127556
MLS,1,1,125,NaN,NaN,NaN,NaN,NaN,0.491788003908322,7.98348978454005,0.528279380916139,0.862743555300337
MLS,1,1,160,0.116579368144509,NaN,NaN,NaN,NaN,5.16922595896989,6.93881869996943,0.766787251275954,0.831699769387509
MLS,1,1,200,NaN,0.106394151098568,NaN,NaN,NaN,1.02137125186958,8.3944524743213,0.55852535381786,0.873569408530722
MLS,1,1,250,NaN,NaN,NaN,NaN,NaN,7.64579008586053,11.8138301793153,0.853273300688136,0.938210154247802
MLS,1,1,315,NaN,NaN,NaN,NaN,NaN,6.02276635711356,10.6282828071448,0.800079802796076,0.920360303226
MLS,1,1,400,0.0581423980691856,NaN,NaN,NaN,NaN,7.00222988515235,16.5534857608563,0.833733656771575,0.978365222624944
MLS,1,1,500,NaN,NaN,0.162858106504389,NaN,0.488574319513167,4.04447808466701,8.57894577132186,0.717333984046137,0.878187298627981
MLS,1,1,630,0.0520606659627656,0.055337472914699,0.141244175506388,NaN,0.423732526519164,8.78958000891007,15.7040471647394,0.883281159139549,0.973813874706873
MLS,1,1,800,NaN,NaN,0.120478243121393,NaN,0.36143472936418,7.24310991418397,12.8502127265596,0.841280640068813,0.950681077787074
MLS,1,1,1000,0.0569001527347757,0.0661769170095954,NaN,NaN,NaN,8.52496170471308,13.274021812538,0.876851312908995,0.955060453923398
MLS,1,1,1250,0.0638552933179994,0.0787524584199307,0.129453622717576,NaN,0.388360868152727,7.57122804704635,11.0437201435141,0.851110770724158,0.927095792128705
MLS,1,1,1600,0.0549262201822819,NaN,0.143726268612478,NaN,0.431178805837434,8.53397227690278,11.3800169635709,0.87707517688569,0.932159573747741
MLS,1,1,2000,0.0596095151897483,0.0693152950548599,0.140637708426824,NaN,0.421913125280472,8.42057992476629,12.9224015429293,0.874232366590396,0.951454617872576
MLS,1,1,2500,0.0663912278680453,0.0767971956250686,0.138245001964792,NaN,0.414735005894376,6.55352023529817,11.2999848605396,0.818913523138907,0.930984895650283
MLS,1,1,3150,0.0576944572283726,0.0751535285225036,0.146048769627858,NaN,0.438146308883575,6.99070247792853,11.4174670150328,0.83336538907369,0.932702860139621
MLS,1,1,4000,0.0589180870429831,0.0724531534072756,0.151285643476285,NaN,0.453856930428856,8.11036000378476,12.8310865014841,0.866166354058568,0.950474180157975
MLS,1,1,5000,0.0625095789853076,0.0668427303705863,0.160708757806488,NaN,0.482126273419464,7.38279740589219,12.5983913753175,0.845528455959195,0.947890258076272
MLS,1,1,6300,0.0582712827826322,0.0618226704489567,0.166730653246167,NaN,0.5001919597385,8.32060780620132,13.636627613328,0.871679497770112,0.958510874305855
MLS,1,1,8000,0.047694892491199,0.0573555458478575,NaN,NaN,NaN,9.85047644655549,14.8799778179179,0.906205171898503,0.96851465792322
MLS,1,1,10000,0.0536865709399048,0.0624807874431228,NaN,NaN,NaN,8.97567937203445,13.9131470473098,0.887626864100051,0.960970295887767
MLS,1,1,12500,0.042078672575688,0.0523383458910749,NaN,NaN,NaN,10.6847280037883,15.613198804132,0.921307756500903,0.973275121357016
MLS,1,1,16000,0.0370301383160543,0.0550316909898079,NaN,NaN,NaN,12.0493312284719,15.3032509760188,0.941280043107296,0.971354740148596
MLS,1,1,20000,0.0346108458681638,NaN,NaN,NaN,NaN,11.2798577727765,12.9430878560512,0.930686528539617,0.951674151511071
