Method;Speaker;Microphone;Frequency in Hz;EDT in s;RT10 in s;RT20 in s;RT30 in s;RT60 in s;C50 in dB;C80 in dB;D50;D80
MLS;1;1;50;NaN;NaN;NaN;NaN;NaN;-7.056830523;-5.095004781;0.164530858;0.236282794
MLS;1;1;63;NaN;NaN;NaN;NaN;NaN;-13.75156092;-9.011244452;0.040449374;0.111558894
MLS;1;1;80;NaN;NaN;NaN;NaN;NaN;-2.582253022;0.847491467;0.355583368;0.548631303
MLS;1;1;100;2.874382673;NaN;NaN;NaN;NaN;-10.87579652;-8.692846944;0.075561146;0.119034827
MLS;1;1;125;NaN;2.818631307;NaN;NaN;NaN;0.974225063;2.180614301;0.555846909;0.622953886
MLS;1;1;160;NaN;NaN;NaN;NaN;NaN;-6.985972853;-5.755768811;0.166785898;0.209935417
MLS;1;1;200;3.051426982;NaN;NaN;NaN;NaN;-2.197735601;-1.400067135;0.376120581;0.420096474
MLS;1;1;250;NaN;NaN;NaN;NaN;NaN;3.516849486;7.902438808;0.692063585;0.860518577
MLS;1;1;315;NaN;0.119383687;NaN;NaN;NaN;4.793742387;6.590062512;0.750971429;0.820157949
MLS;1;1;400;0.057575374;0.110383322;NaN;NaN;NaN;7.136875657;10.69442473;0.837987046;0.921469479
MLS;1;1;500;0.068652753;0.099093381;0.263768815;NaN;0.791306446;5.475557836;9.820790305;0.779162723;0.905622558
MLS;1;1;630;0.122174241;NaN;0.232665438;NaN;0.697996314;0.538135098;4.941772729;0.530937972;0.757291152
MLS;1;1;800;0.116863897;0.102198773;0.233513803;NaN;0.70054141;2.781573545;6.012238544;0.654862178;0.799691778
MLS;1;1;1000;0.110754257;0.111404849;0.212875641;NaN;0.638626923;3.781652477;6.579223881;0.704903327;0.819789544
MLS;1;1;1250;0.114989681;0.131719391;0.244017934;NaN;0.732053803;3.122287775;6.285463754;0.672372086;0.809579704
MLS;1;1;1600;0.112013116;0.117569239;0.229652625;NaN;0.688957874;1.930203838;5.714490445;0.609317878;0.788483764
MLS;1;1;2000;0.129185377;0.123488315;NaN;NaN;NaN;1.32091684;4.738040839;0.575457276;0.748565129
MLS;1;1;2500;0.108493482;0.127235478;0.262789804;NaN;0.788369413;1.980014598;5.799241697;0.612044704;0.791720047
MLS;1;1;3150;0.116158276;0.117019947;0.250312913;NaN;0.750938738;1.629768261;5.447338095;0.592731299;0.778042625
MLS;1;1;4000;0.115204895;0.125279259;0.261762924;NaN;0.785288771;1.634327932;6.037993678;0.592984722;0.80064004
MLS;1;1;5000;0.120128065;0.120016452;NaN;NaN;NaN;2.180989816;5.788984314;0.622974195;0.791330311
MLS;1;1;6300;0.105907001;0.097570294;0.240296717;NaN;0.720890152;2.743579541;6.530051467;0.652882205;0.818110777
MLS;1;1;8000;0.080614128;0.096800777;NaN;NaN;NaN;4.673541187;8.825885524;0.745759525;0.884140245
MLS;1;1;10000;0.070732097;0.069398676;NaN;NaN;NaN;5.521708116;11.18847059;0.780985779;0.92931672
MLS;1;1;12500;0.064795617;0.065148345;NaN;NaN;NaN;6.922813556;12.19045173;0.831183285;0.943050517
MLS;1;1;16000;0.061226711;NaN;NaN;NaN;NaN;7.686258034;11.60580238;0.854436071;0.935374309
MLS;1;1;20000;NaN;NaN;NaN;NaN;NaN;6.014597356;8.556491989;0.799778766;0.87763314
MLS;1;2;50;NaN;NaN;NaN;NaN;NaN;-4.05010251;-1.322711679;0.282403493;0.424441761
MLS;1;2;63;NaN;NaN;NaN;NaN;NaN;-1.80332889;0.64237011;0.397658294;0.536910527
MLS;1;2;80;2.963422153;NaN;NaN;NaN;NaN;-5.539497445;-2.879130335;0.218314394;0.340078535
MLS;1;2;100;NaN;NaN;NaN;NaN;NaN;-11.16599283;-10.59776559;0.071024013;0.080156269
MLS;1;2;125;NaN;NaN;NaN;NaN;NaN;-0.551235172;5.832430994;0.468310885;0.792977418
MLS;1;2;160;NaN;NaN;NaN;NaN;NaN;2.763909623;5.744432917;0.653942325;0.789631323
MLS;1;2;200;0.107496564;NaN;NaN;NaN;NaN;1.431651975;6.508978855;0.581674226;0.817387636
MLS;1;2;250;NaN;NaN;NaN;NaN;NaN;6.2421202;12.84838158;0.808036393;0.950661305
MLS;1;2;315;0.080662522;0.082664036;0.211143168;NaN;0.633429505;6.752698322;9.884944269;0.825615459;0.906877583
MLS;1;2;400;NaN;0.060161845;NaN;NaN;NaN;2.646824219;10.44331722;0.647816196;0.917182164
MLS;1;2;500;0.108483839;0.082577875;0.231017769;NaN;0.693053307;3.398307712;7.804913494;0.68621636;0.857801377
MLS;1;2;630;0.105430817;0.116827421;0.227018762;NaN;0.681056285;4.690478356;7.212498693;0.746498251;0.840337207
