Method;Speaker;Microphone;Frequency in Hz;EDT in s;RT10 in s;RT20 in s;RT30 in s;RT60 in s;C50 in dB;C80 in dB;D50;D80
Sweep;1;1;50;NaN;NaN;NaN;NaN;NaN;-12.60061811;-12.39785474;0.052084422;0.054438282
Sweep;1;1;63;4.73298737;NaN;NaN;NaN;NaN;-8.507688585;-5.586372952;0.12357881;0.216478052
Sweep;1;1;80;NaN;NaN;NaN;NaN;NaN;-0.236344644;4.640927876;0.486398265;0.744333083
Sweep;1;1;100;NaN;NaN;NaN;NaN;NaN;-3.396495866;-0.723924118;0.313873478;0.458423801
Sweep;1;1;125;NaN;NaN;NaN;NaN;NaN;2.890143844;4.023430413;0.660490366;0.716350264
Sweep;1;1;160;NaN;NaN;NaN;NaN;NaN;-4.036411955;-3.398355738;0.283042764;0.313781259
Sweep;1;1;200;4.545334322;3.15804994;NaN;NaN;NaN;-3.068681683;-2.604153874;0.330352747;0.354428671
Sweep;1;1;250;NaN;NaN;NaN;NaN;NaN;3.778232631;6.744233901;0.7047395;0.825334673
Sweep;1;1;315;NaN;0.130902122;NaN;NaN;NaN;5.746064453;7.215244233;0.789693721;0.840422009
Sweep;1;1;400;0.057467985;0.097759109;NaN;NaN;NaN;7.400698566;10.30569471;0.846066051;0.914743076
Sweep;1;1;500;0.071527933;NaN;0.275972045;NaN;0.827916136;5.705482622;10.01850606;0.78813764;0.909442459
Sweep;1;1;630;0.12637757;NaN;0.208439531;NaN;0.625318593;0.59008988;5.418227781;0.533916141;0.776882929
Sweep;1;1;800;0.108119622;0.098284821;0.235837347;NaN;0.70751204;3.798299233;6.323595645;0.705700033;0.810929584
Sweep;1;1;1000;0.116307304;0.097207488;0.217970971;NaN;0.653912913;3.16296371;6.187208552;0.674431957;0.806067514
Sweep;1;1;1250;0.088877107;0.111787771;0.237828943;NaN;0.71348683;3.95759266;8.099384022;0.713259848;0.865873111
Sweep;1;1;1600;0.099886647;0.111709921;0.239279322;NaN;0.717837967;2.432529506;7.183191317;0.636478135;0.839429706
Sweep;1;1;2000;0.126933463;0.121096713;0.277016303;NaN;0.83104891;2.310873089;5.696671952;0.629972349;0.787798691
Sweep;1;1;2500;0.128505574;0.13018838;0.266695249;NaN;0.800085748;0.659662372;4.606374825;0.537900379;0.742816079
Sweep;1;1;3150;0.138676954;0.12176678;NaN;NaN;NaN;1.979457126;5.217310781;0.612014225;0.768761335
