Method,Speaker,Microphone,Frequency in Hz,EDT in s,RT10 in s,RT20 in s,RT30 in s,RT60 in s,C50 in dB,C80 in dB,D50,D80
MLS,1,1,50,NaN,NaN,NaN,NaN,NaN,-7.05683052347492,-5.09500478143107,0.164530857701355,0.236282793686284
MLS,1,1,63,NaN,NaN,NaN,NaN,NaN,-13.7515609246887,-9.01124445187667,0.0404493736276194,0.111558893748653
MLS,1,1,80,NaN,NaN,NaN,NaN,NaN,-2.58225302158128,0.847491467052225,0.35558336771358,0.54863130316949
MLS,1,1,100,2.87438267270995,NaN,NaN,NaN,NaN,-10.8757965191237,-8.69284694390628,0.075561146411755,0.11903482709534
MLS,1,1,125,NaN,2.81863130734032,NaN,NaN,NaN,0.974225062823532,2.18061430078449,0.555846909105794,0.622953885938806
MLS,1,1,160,NaN,NaN,NaN,NaN,NaN,-6.98597285317638,-5.75576881086898,0.166785897609088,0.209935417193593
MLS,1,1,200,3.05142698193782,NaN,NaN,NaN,NaN,-2.19773560146324,-1.40006713537623,0.37612058131907,0.42009647371043
MLS,1,1,250,NaN,NaN,NaN,NaN,NaN,3.51684948617174,7.90243880785011,0.692063584944042,0.860518576955641
MLS,1,1,315,NaN,0.119383686556155,NaN,NaN,NaN,4.79374238743786,6.590062512316,0.75097142934633,0.820157948860894
MLS,1,1,400,0.0575753743170752,0.110383321792849,NaN,NaN,NaN,7.13687565727369,10.6944247341011,0.837987046375907,0.921469478515007
MLS,1,1,500,0.068652753351742,0.0990933805971774,0.26376881526539,NaN,0.791306445796171,5.47555783561402,9.82079030500379,0.779162723148947,0.905622558163449
MLS,1,1,630,0.122174241007983,NaN,0.232665437922997,NaN,0.697996313768991,0.538135098046029,4.94177272870019,0.530937972045617,0.757291151626331
MLS,1,1,800,0.116863897213235,0.10219877252422,0.233513803389906,NaN,0.700541410169719,2.78157354537557,6.0122385444626,0.65486217826082,0.799691777860249
MLS,1,1,1000,0.110754256502455,0.111404848961955,0.212875641006514,NaN,0.638626923019541,3.78165247672635,6.57922388102172,0.70490332723574,0.819789543621907
MLS,1,1,1250,0.114989680536015,0.131719391286025,0.24401793427488,NaN,0.732053802824641,3.12228777517188,6.2854637538187,0.672372085546435,0.809579703765003
MLS,1,1,1600,0.11201311595661,0.117569239104785,0.229652624505873,NaN,0.688957873517618,1.93020383758588,5.71449044523436,0.609317878408154,0.788483763604279
MLS,1,1,2000,0.129185376568355,0.123488314899959,NaN,NaN,NaN,1.32091683976311,4.73804083874062,0.575457276301054,0.748565129289553
