Method,Speaker,Microphone,Frequency in Hz,EDT in s,RT10 in s,RT20 in s,RT30 in s,RT60 in s,C50 in dB,C80 in dB,D50,D80
MLS,1,1,50,NaN,NaN,NaN,NaN,NaN,-4.73081021838119,-1.98643125894868,0.251748362386688,0.387604529730358
MLS,1,1,63,NaN,NaN,NaN,NaN,NaN,-8.02598305587032,-3.14400108177651,0.136101906824654,0.326527497668541
MLS,1,1,80,NaN,NaN,NaN,NaN,NaN,-3.09590249989333,0.601549694413861,0.328967657772289,0.534572726892748
MLS,1,1,100,NaN,NaN,NaN,NaN,NaN,-4.83258676701166,-4.03567854635798,0.247359634244453,0.28307703478172
MLS,1,1,125,NaN,NaN,NaN,NaN,NaN,-3.02205650276988,-2.4520904771471,0.332732039480666,0.362480381479518
MLS,1,1,160,NaN,NaN,NaN,NaN,NaN,-11.6653775945159,-8.09021531979723,0.0638014026548143,0.134372263174224
MLS,1,1,200,NaN,NaN,NaN,NaN,NaN,-8.16376008436537,-6.51343643239153,0.132414693530268,0.182459208958861
MLS,1,1,250,NaN,NaN,NaN,NaN,NaN,-4.32841525497326,-2.15806501421689,0.269599705808558,0.378266438271773
MLS,1,1,315,NaN,NaN,NaN,NaN,NaN,-3.50817302851605,-0.673277370586863,0.308362338669646,0.461320475519063
MLS,1,1,400,NaN,NaN,NaN,NaN,NaN,-2.61123174284729,-0.29015244422079,0.354055860827186,0.48330369266848
MLS,1,1,500,NaN,NaN,NaN,NaN,NaN,-0.750725137978478,-0.209413520860008,0.456892075659877,0.487947523887685
MLS,1,1,630,NaN,NaN,NaN,NaN,NaN,-1.66190885123811,-1.00064987330008,0.405483411591601,0.442651448347345
MLS,1,1,800,NaN,NaN,NaN,NaN,NaN,-2.56242104042287,-1.12442000129605,0.356630437711344,0.435632343564309
MLS,1,1,1000,NaN,NaN,NaN,NaN,NaN,-3.59043050924115,-1.27390890327312,0.304337535816102,0.427189224161255
MLS,1,1,1250,NaN,NaN,NaN,NaN,NaN,-3.25006521470641,-0.456339894934208,0.321179806305442,0.473755107052175
MLS,1,1,1600,NaN,NaN,NaN,NaN,NaN,-1.11249424445497,0.337605301915486,0.436307586997148,0.519424342658284
MLS,1,1,2000,NaN,NaN,NaN,NaN,NaN,1.60228322633455,3.05643234607618,0.591202662475541,0.669023000693413
