Method,Speaker,Microphone,Frequency in Hz,EDT in s,RT10 in s,RT20 in s,RT30 in s,RT60 in s,C50 in dB,C80 in dB,D50,D80
Sweep,1,1,50,4.60856953992836,NaN,NaN,NaN,NaN,-11.7944551842887,-9.48357947122865,0.062048979317126,0.101226100051295
Sweep,1,1,63,NaN,4.90404541713562,NaN,NaN,NaN,-5.36239759570832,-0.226175210228688,0.225353297358701,0.486983250180263
Sweep,1,1,80,NaN,NaN,NaN,NaN,NaN,-1.25992585120121,4.73018307724524,0.427977268367644,0.748224434984494
Sweep,1,1,100,NaN,0.239500084096877,NaN,NaN,NaN,3.59298221621596,5.88677168957911,0.695786844209859,0.795023978825616
Sweep,1,1,125,NaN,NaN,NaN,NaN,NaN,0.177339946572187,1.08876483677729,0.510207089683102,0.562348139541965
Sweep,1,1,160,0.16778247875719,NaN,NaN,NaN,NaN,-1.15459627894564,1.65700028893008,0.433924816294931,0.59424409662205
Sweep,1,1,200,NaN,NaN,NaN,NaN,NaN,-5.37380098704684,0.429871479380604,0.224895256749029,0.524725208009732
Sweep,1,1,250,0.173651158973543,NaN,NaN,NaN,NaN,-1.0911858680323,3.1519904901082,0.437514666488885,0.67387692104252
Sweep,1,1,315,NaN,NaN,NaN,NaN,NaN,0.236752355348877,4.21649579150022,0.513625186990268,0.725295669728462
Sweep,1,1,400,NaN,NaN,NaN,NaN,NaN,0.549216355715433,3.93794558702277,0.531573367770353,0.712333726017967
Sweep,1,1,500,NaN,NaN,NaN,NaN,NaN,4.92437930517264,6.00579053005915,0.756554272219231,0.799453843973183
Sweep,1,1,630,NaN,0.132407397505144,NaN,NaN,NaN,3.48528590778427,4.78743656064095,0.690512578148918,0.750699792595093
Sweep,1,1,800,0.117939169703014,0.134926646150287,NaN,NaN,NaN,2.99255369616739,6.05668506860202,0.665757998542018,0.801326113054407
Sweep,1,1,1000,0.134061157611775,0.123118002394348,NaN,NaN,NaN,-0.465989983020777,4.63734039266294,0.473201166371073,0.744175853023215
Sweep,1,1,1250,0.109255115905774,0.107721895136131,NaN,NaN,NaN,-0.462080222955193,5.03861603244779,0.473425589108151,0.761366186341191
Sweep,1,1,1600,0.121673485540542,0.109626561996721,0.290830141938034,NaN,0.872490425814101,2.62288964863519,4.72793397638497,0.646557805950394,0.748126862826877
Sweep,1,1,2000,0.117305480849941,0.119689234457751,0.252910813950793,NaN,0.758732441852378,2.62256745774162,6.50557647164783,0.646540852448245,0.817270668502127
Sweep,1,1,2500,0.111551264189016,0.122331678948367,0.260253256060201,NaN,0.780759768180603,3.42631268225495,6.28482313366899,0.687603178063786,0.80955696279614
Sweep,1,1,3150,0.123934986299788,0.134622395505354,0.264259056002579,NaN,0.792777168007738,1.02495826246405,4.98146815477805,0.558728999867661,0.75896718052666
Sweep,1,1,4000,0.142508671257935,0.114768274586015,NaN,NaN,NaN,1.50413806413562,4.99300923175159,0.585729900767704,0.759452985744417
Sweep,1,1,5000,0.106890799614391,0.117180016301758,0.302915647331466,NaN,0.908746941994398,2.89224024823807,6.97177503526796,0.660598602722795,0.832759296385053
Sweep,1,1,6300,0.110342957678538,0.112682495422643,NaN,NaN,NaN,2.76041739869703,6.27856760666409,0.653760330450018,0.809334792642354
Sweep,1,1,8000,0.0924289507733476,0.109666420558578,NaN,NaN,NaN,4.69049841165599,7.95285776917636,0.746499125378291,0.861906187022486
Sweep,1,1,10000,NaN,NaN,NaN,NaN,NaN,0.116703809396876,1.80891600576023,0.506717607064368,0.602649810892724
Sweep,1,1,12500,NaN,NaN,NaN,NaN,NaN,-15.3501497621877,-14.0616533201452,0.0283463097309373,0.0377672030665527
Sweep,1,1,16000,NaN,NaN,NaN,NaN,NaN,-17.1112181878334,-15.6179764397225,0.0190771300930972,0.0266962794370227
Sweep,1,1,20000,NaN,NaN,NaN,NaN,NaN,-16.8435551656314,-15.3037976984764,0.0202652970847251,0.0286417572762495
Sweep,1,2,50,NaN,NaN,NaN,NaN,NaN,-3.70896511634742,-0.997050801379461,0.29859008820201,0.442855911755762
Sweep,1,2,63,0.206773361333821,NaN,NaN,NaN,NaN,-3.26953732488204,0.954511345322317,0.320203057465794,0.554725971435488
Sweep,1,2,80,NaN,NaN,NaN,NaN,NaN,-4.85141246352287,1.9872526127447,0.246553500600933,0.612440361089583
Sweep,1,2,100,0.148469934058239,NaN,NaN,NaN,NaN,1.88084900163008,3.55724056490938,0.606609258586203,0.694042057316443
Sweep,1,2,125,NaN,NaN,NaN,NaN,NaN,-1.20891111521233,2.42208203530935,0.430855381769853,0.635921355187395
Sweep,1,2,160,NaN,0.123505901686578,NaN,NaN,NaN,2.91889635715303,4.50512935148104,0.661973386741501,0.738337275305686
Sweep,1,2,200,0.215132512443405,NaN,NaN,NaN,NaN,0.395613199533941,3.39235572782317,0.52275759171562,0.685921185009459
Sweep,1,2,250,NaN,NaN,NaN,NaN,NaN,1.34203285018301,3.26378538959724,0.576644689527848,0.679508580733983
Sweep,1,2,315,NaN,NaN,NaN,NaN,NaN,1.96671002915741,10.2821142203844,0.611317041504723,0.914318676014276
Sweep,1,2,400,NaN,0.135976610327897,NaN,NaN,NaN,6.7071977846154,9.23878429661431,0.824101903804139,0.893529243238132
Sweep,1,2,500,NaN,NaN,NaN,NaN,NaN,6.469949409321,10.507064571403,0.816042383202862,0.918290313177758
Sweep,1,2,630,NaN,0.0955501656098744,NaN,NaN,NaN,2.17055186592638,3.71885244083148,0.622409517818427,0.701886499113455
Sweep,1,2,800,0.125211122184607,0.123046392613816,NaN,NaN,NaN,-0.382085784239179,4.8346917445794,0.478019550183126,0.752730590635335
Sweep,1,2,1000,NaN,0.112242198654142,0.256188393857869,NaN,0.768565181573606,4.97553385221857,7.87975141004651,0.758717124002787,0.859890381631888
Sweep,1,2,1250,0.111493712163014,0.110638287998144,0.217724053607986,NaN,0.653172160823959,3.50656169985421,6.42777471795168,0.691558525956101,0.814580106310768
Sweep,1,2,1600,0.0958343438397696,0.11363406986887,0.24717256169723,NaN,0.741517685091691,3.0431991200104,7.44365243939708,0.66834793866987,0.84734976732612
Sweep,1,2,2000,NaN,NaN,0.240639716519335,NaN,0.721919149558006,3.56051086270603,4.54061556654213,0.694201934701923,0.739912798006066
Sweep,1,2,2500,NaN,NaN,0.252703915042011,NaN,0.758111745126032,0.243782720957564,5.27320258290193,0.514029577835172,0.7710412055515
Sweep,1,2,3150,0.117102412581594,0.107812888945693,0.236155980944094,NaN,0.708467942832281,1.56264669777573,5.89885993326363,0.588995093058563,0.79547719501544
Sweep,1,2,4000,0.101538259642433,0.122674427568007,0.230312720587508,0.339317513374165,0.678635026748331,4.53010379175587,7.75343087997197,0.739446736418577,0.856349268150332
Sweep,1,2,5000,0.115618957747947,0.11045259175684,0.222965402929808,NaN,0.668896208789425,2.23031982673414,6.26511928778791,0.625638335680813,0.80885649393951
Sweep,1,2,6300,0.103752884480587,0.0960948092994667,0.202842307207503,NaN,0.608526921622509,2.40765113350185,6.60747635103075,0.635151686945462,0.820748613824324
Sweep,1,2,8000,0.0905563623787394,0.0953593780959673,0.236029846739546,NaN,0.708089540218637,4.74504191967211,8.33274902460163,0.748868421883828,0.871991875115349
Sweep,1,2,10000,NaN,NaN,NaN,NaN,NaN,4.60762354311488,7.61011894966684,0.742871004536974,0.852241990079701
Sweep,1,2,12500,NaN,NaN,NaN,NaN,NaN,-3.96939745863099,-3.03547260953264,0.286184556427215,0.332046531692952
Sweep,1,2,16000,NaN,NaN,NaN,NaN,NaN,-9.32043577206421,-8.54704839021657,0.104695321901976,0.12260057484998
Sweep,1,2,20000,NaN,NaN,NaN,NaN,NaN,-12.6752194696948,-11.6346557168762,0.0512428319479172,0.0642252427082423
Sweep,1,3,50,4.63409569231719,NaN,NaN,NaN,NaN,-12.1503685397103,-10.7853407403407,0.0574471960205824,0.0770289544449666
Sweep,1,3,63,NaN,2.50958579219237,NaN,NaN,NaN,-6.77077673340762,-4.17669161273377,0.173786029464596,0.276534197580403
Sweep,1,3,80,0.260772289788341,NaN,NaN,NaN,NaN,1.73743286982857,2.86834575598006,0.598701763964681,0.659363942128867
Sweep,1,3,100,NaN,NaN,NaN,NaN,NaN,4.51070783121617,6.93468310248949,0.738585357278618,0.831566434926595
Sweep,1,3,125,NaN,NaN,NaN,NaN,NaN,-1.2609600477304,5.43668371524504,0.427918971488745,0.777618676257203
Sweep,1,3,160,NaN,NaN,NaN,NaN,NaN,-2.77091958261455,0.744624515874786,0.345692491038293,0.542759333632657
Sweep,1,3,200,NaN,NaN,NaN,NaN,NaN,-3.04324352768105,6.64357011916876,0.331649794816953,0.821968058040485
Sweep,1,3,250,NaN,5.71898358845416,NaN,NaN,NaN,-0.523360858278118,0.716985886613884,0.469909333769631,0.541179537415641
Sweep,1,3,315,NaN,5.64775044543045,NaN,NaN,NaN,-0.117798247593069,2.17934415482863,0.493219403487685,0.622885189329634
Sweep,1,3,400,NaN,NaN,NaN,NaN,NaN,0.699643399455773,7.81437266782053,0.540187833426862,0.858066845554831
